years_in_NL,bottled_preference,expected_taste_tap,expected_taste_bottled,taste_cup_A_tapwater,taste_cup_B_Chaudfontaine,first_cup,guess_tap
3,0,100,80,77,88,cup A,cup A
3,0,90,90,100,95,cup A,cup B
2.5,0,80,65,66,40,cup B,cup A
0,10,70,84,70,85,cup B,cup A
0.3,8,60,70,50,50,cup A,cup B
41,0,100,51,100,91,cup A,cup B
,5,50,70,50,50,cup B,cup B
3,2,50,50,61,100,cup B,cup A
2,1,30,80,30,25,cup A,cup A
3,0,90,70,90,80,cup A,cup A
3,8,50,60,52,66,cup A,cup A
0,0,100,82,100,83,cup A,cup A
,5,50,70,100,95,cup B,cup B
0,5,70,70,55,68,cup A,cup B
3,0,90,50,0,100,cup A,cup B
,0,70,89,90,83,cup A,cup B
0.33,7,30,75,100,70,cup A,cup B
1,5,50,70,50,50,cup A,cup B
24,0,50,50,49,51,cup B,cup B
22,2,80,91,92,82,cup A,cup B
3,0,90,30,90,89,cup A,cup A
0,1,69,92,70,89,cup A,cup A
24,1,85,70,40,90,cup B,cup B
0,5,30,30,30,30,cup A,cup B
,5,11,74,43,70,cup B,cup B
,8,33,87,53,68,cup A,cup A
0.33,7,65,65,71,67,cup A,cup B
3,2,50,76,83,57,cup A,cup B
0.3,6,50,60,50,80,cup A,cup A
0.5,9,52,91,29,83,cup B,cup A
3,2,74,96,86,86,cup B,cup B
4,2,70,90,80,64,cup B,cup A
3,0,75,39,50,60,cup A,cup B
27,10,19,90,100,0,cup B,cup B
3.5,8,70,90,92,31,cup A,cup B
,5,50,50,50,50,cup A,cup B
8,2,100,100,83,94,cup A,cup A
4,2,50,55,60,50,cup B,cup B
22,5,76,76,68,82,cup A,cup B
4,6,81,90,82,93,cup A,cup B
4,2,81,66,50,50,cup A,cup A
5,5,63,63,83,92,cup A,cup A
2,5,50,66,65,55,cup A,cup B
0,3,50,50,100,100,cup A,cup B
25,5,50,50,50,60,cup A,cup A
25,0,86,70,53,83,cup A,cup B
2,5,40,60,60,40,cup B,cup B
0,0,83,69,100,41,cup B,cup A
22,5,66,70,70,70,cup B,cup B
0,5,50,50,50,50,cup A,cup A
,8,40,87,39,50,cup A,cup A
0,8,50,85,35,75,cup A,cup A
3,0,100,100,76,100,cup A,cup A
30,0,100,100,100,100,cup A,cup A
31,0,100,19,50,50,cup A,cup A
32,5,60,60,60,60,cup A,cup A
3.5,6,90,50,94,82,cup A,cup B
27,2,82,69,50,50,cup B,cup A
41,7,72,90,50,50,cup B,cup A
34,0,100,40,50,40,cup A,cup A
29,2,50,51,50,50,cup B,cup A
25,5,40,50,65,33,cup A,cup B
1,10,100,100,100,98,cup B,cup A
25,5,80,80,80,100,cup B,cup A
25,5,60,60,55,55,cup A,cup A
2,1,78,42,32,80,cup A,cup B
1.25,1,90,77,48,72,cup A,cup B
2,3,70,60,60,70,cup A,cup B
5.5,3,88,74,71,86,cup A,cup A
40,2,82,89,91,90,cup A,cup A
10,0,50,50,80,90,cup A,cup B
26,2,100,81,81,85,cup A,cup B
37,5,50,52,73,87,cup B,cup A
5,2,86,87,67,88,cup B,cup A
42,5,65,65,70,70,cup B,cup B
21,2,80,80,30,80,cup B,cup B
0,2,100,77,71,89,cup A,cup A
34,8,97,90,87,93,cup A,cup B
25,5,50,50,60,90,cup A,cup A
2,3,81,81,61,61,cup A,cup B
,4,88,83,60,83,cup A,cup B
27,1,91,76,81,47,cup A,cup A
26,8,80,80,80,80,cup A,cup A
2.5,2,60,40,79,79,cup A,cup A
,4,60,60,60,60,cup A,cup B
31,5,90,92,88,89,cup A,cup A
,10,50,50,31,76,cup A,cup A
28,5,50,50,50,50,cup A,cup B
50,0,50,50,50,50,cup A,cup A
26,1,70,70,45,65,cup B,cup B
1,5,63,77,71,62,cup B,cup B
,2,82,94,50,50,cup B,cup B
